,id,gender,E,A,C,N,I,age,height,FB friends,whatsapp private week,self statement ,friend statement
Participant,,,,,,,,,,,,,
mouth+chin Fixation Count,,0.0353571004195,-0.295275165485,0.228878222364,0.0193534563764,0.128916297564,-0.335040859194,-0.118338495325,-0.0588430515114,-0.11282752979,-0.0652014098913,0.0442906483228,0.0515059957075
mouth+chin Fixation Time [%],,-0.0904227027998,-0.346147340626,0.0612267278235,0.0428439280444,0.27059340694,-0.338064044185,-0.00224851914642,0.0664986844013,-0.235170042859,-0.224494375062,0.127533824887,0.155323622822
mouth+chin Average Fixation Duration [ms],,-0.0881853644286,-0.364795859741,-0.116785027115,-0.0061676769021,0.248196180689,-0.333789422934,0.0746831488087,0.104174602619,-0.235122257991,-0.311413042162,0.150596007007,0.197965258824
nose+cheeks Fixation Count,,-0.116285200957,-0.252608280501,0.13628682867,-0.152027969126,0.239782958699,-0.313014342762,0.115080876541,0.218762857604,0.0613788708066,-0.0328979406437,0.189074432041,0.0824448805304
nose+cheeks Fixation Time [%],,-0.313576955232,-0.239002541999,-0.0263778386703,-0.0930119429696,0.308054884614,-0.0998244407136,0.376928280736,0.456869313382,-0.0294372056482,-0.0936630114036,0.0650896762445,0.00597038402153
nose+cheeks Average Fixation Duration [ms],,-0.33249463486,-0.321982212741,-0.137309345301,-0.064067077352,0.230628791383,-0.0118430274298,0.465457431366,0.465776066258,-0.116043347024,-0.240423809187,0.0785162468676,0.0511454703488
eyes+eyebrows Fixation Count,,0.208528681304,0.428868346336,-0.0684274259984,-0.0485742174246,-0.328377242227,0.302934541331,-0.17461671686,-0.330414510236,0.190494080642,0.195226173127,-0.0566518223036,-0.0725105244091
eyes+eyebrows Fixation Time [%],,0.210262766733,0.427366410356,-0.0483544742214,-0.0400774015532,-0.411608467313,0.403079488946,-0.170825985518,-0.30093813711,0.200459466658,0.213202317403,-0.20686975628,-0.129990423263
eyes+eyebrows Average Fixation Duration [ms],,0.071406613912,0.211044503736,0.0409870551689,-0.1274137881,-0.363341805866,0.37887443649,-0.118029085726,-0.126616479665,0.23369837058,0.146831950735,-0.326728524055,-0.348599709985
forehead Fixation Count,,0.0510365333083,0.135268641134,-0.116075270691,0.161936565874,0.29517518853,-0.123980355822,-0.231905067346,-0.114726646699,-0.297774622276,0.0032478102922,-0.161755845168,-0.0851698038249
forehead Fixation Time [%],,0.0918561800934,0.117640550932,0.0115474074642,0.163801721835,0.254122238891,-0.0897319660238,-0.217062935001,-0.0988585775058,-0.278512965086,0.0349294620454,-0.201496171583,-0.0678866030722
forehead Average Fixation Duration [ms],,-0.0267522228484,0.237264388394,-0.101931760619,0.0351549151225,0.353739343217,0.00856330771163,-0.159951173416,-0.102766114977,-0.204082361163,0.0391820975718,-0.242844005901,-0.120644935796
neck Fixation Count,,0.333397056337,-0.227830809183,-0.0355265451811,0.117037230933,-0.242403495497,-0.154656712911,-0.408829053929,-0.249680206437,-0.319919342367,-0.273959370411,0.195428958673,0.0702082762462
neck Fixation Time [%],,0.293174450134,-0.0612647491089,-0.249915190996,0.252777825677,-0.198039088677,-0.0202193770994,-0.139493578631,-0.0786946396047,-0.380081984479,-0.0786683466595,0.151205736019,-0.123959609637
neck Average Fixation Duration [ms],,0.250467262015,-0.0552445883732,-0.184896382605,0.259189747152,-0.1899138068,-0.0750875200459,-0.100232181021,-0.0405670841594,-0.36840237565,-0.155291114647,0.0918852603296,-0.0523139740917
