,id,gender,E,A,C,N,I,age,height,FB friends,whatsapp private week,self statement ,friend statement
Participant,,,,,,,,,,,,,
"eyes+eyebrows, mouth+chin",,0.136028672785,0.340939044899,-0.1848493626,-0.109966752252,-0.263931596311,0.063369808392,-0.00455613255034,-0.251273351454,0.468262961299,0.213851490152,-0.260717596907,0.149286755426
"eyes+eyebrows, none",,0.0910705075023,0.449689533358,0.178894380399,0.241146939325,-0.203646277423,0.365653101175,-0.0104785749013,-0.134650918297,0.0330127318171,0.07818801809,-0.270258241895,-0.142423419746
"eyes+eyebrows, nose+cheeks",,-0.0674176311281,0.0890251307574,0.000905260836408,-0.0889550306014,-0.0058054341725,0.0278972885455,0.2478327365,-0.105066414848,0.10190891437,-0.213366488872,0.00602633214921,0.210922481234
"forehead, eyes+eyebrows",,-0.0527687954285,-0.0407149519924,0.367920451411,0.0670457346493,-0.0450760465416,-0.0739415849837,0.084394947257,-0.0901915436365,0.0825275953436,-0.160684014763,0.0592560681938,0.1024183113
"forehead, nose+cheeks",,-0.305624922751,-0.151042845292,-0.113217336001,-0.134647483305,0.188312975791,-0.0233919667067,0.517549169507,0.301689055325,-0.0815087361418,-0.392985240529,0.174963553056,0.418717894679
"mouth+chin, eyes+eyebrows",,0.0501345598364,0.11062806448,-0.120603394747,-0.094309191872,-0.372764863237,0.0571602607389,-0.267273079276,-0.251686012164,0.00587712606815,0.0216165896443,-0.109332320279,-0.400504025846
"mouth+chin, forehead",,-0.0420215363034,-0.16751708846,-0.103963206629,-0.188975101484,0.22008088888,-0.20083011714,0.134412973091,0.0261172755907,-0.186845296208,-0.245755145582,0.125833509524,0.0815590871741
"mouth+chin, nose+cheeks",,-0.142140357273,-0.372433026049,0.0400857962573,0.049594091243,0.230936076084,-0.158261645775,-0.130351546579,0.223629964853,-0.106341149338,0.00964525013512,0.251965271377,-0.238237034029
"nose+cheeks, eyes+eyebrows",,0.179980764454,0.135700502844,-0.0850349339173,-0.227241022394,-0.161971549096,0.0900698907528,-0.126577493008,-0.118776059239,0.167071464716,0.205275143102,0.0151691923407,0.0388650165379
"nose+cheeks, mouth+chin",,0.0254088210716,-0.314777637677,0.0752774562339,0.046813775576,0.13673082165,-0.17003873511,0.321360849066,0.189928994459,-0.228354159365,-0.236357091676,0.00590328048305,0.455744820228
"mouth+chin, none",,-0.18867057535,-0.162129892086,0.0223867119203,0.149562110577,0.332816576124,-0.213073864547,-0.040391375206,0.130343253873,-0.198159506673,-0.10454598378,0.178500682714,0.0288337337032
"nose+cheeks, none",,-0.415199002474,0.144969241755,0.01290393775,0.0610828587985,0.373804625778,0.0959579303565,0.55055120841,0.486394540852,0.145304703237,0.0654293838881,-0.118679934667,0.128936748596
"nose+cheeks, forehead",,0.0509843417142,0.134040989757,0.160538761057,0.105691213071,0.268450034627,-0.073142122121,-0.108721345509,-0.0316878491482,-0.15241082899,0.105188063377,-0.173877166948,-0.0439799497134
"eyes+eyebrows, forehead",,0.084773728485,0.416680055986,-0.241511981717,-0.0982615806328,0.248506914251,0.00565657519867,-0.180775381516,-0.23807472794,0.0121626352679,0.168624661899,-0.359627871911,-0.146254484825
"mouth+chin, neck",,0.162385862553,0.119938088762,0.0730454665404,-0.0309062960744,0.183317932266,-0.0912664722327,-0.159821100495,-0.204440364421,-0.133470555432,0.0247519563359,-0.252483510678,-0.0969762275753
"none, none",,0.162385862553,-0.244159680694,-0.196660871455,-0.0309062960744,-0.0685693029088,0.0587606054101,-0.0799105502476,0.131980488424,-0.234337616408,0.0772744002681,0.308590957496,0.0969762275753
"forehead, none",,0.162385862553,-0.308412228245,-0.0280944102079,0.269803611677,-0.0685693029088,-0.166280011054,-0.239731650743,0.131980488424,-0.259809096452,0.00724447502514,-0.0654586879536,0.0969762275753
Most common pattern,,,,,,,,,,,,,
Most common consistency,,0.0129676154676,-0.0883053404114,0.345828707154,0.211661035655,-0.125646051985,0.215347140063,0.112402049628,0.102322846683,0.019630611636,0.0169298220692,0.114375755453,0.0161637393268
General consistency,,-0.0753115672436,-0.147431039139,0.275923921276,0.265694625415,-0.107063729848,0.0441666463439,0.0844352423721,0.165949911481,-0.00557999169562,-0.0233291997807,0.169784042388,-0.0603927862219
