,id,gender,E,A,C,N,I,age,height,FB friends,whatsapp private week,self statement ,friend statement
Participant,,,,,,,,,,,,,
"eyes+eyebrows, nose+cheeks",,-0.164427498762,0.0446522289526,-0.0585725275357,-0.166712057077,0.00947648204462,-0.0406199852969,0.158088745155,-0.0553311068713,0.119363694008,-0.291087792122,0.0476724576817,0.154955881042
"mouth+chin, eyes+eyebrows",,-0.00171357273659,0.133095992332,-0.0608940256507,-0.19892649796,-0.217788946509,-0.0821526537262,-0.197321453478,-0.245665023996,0.14565892389,0.0410901702971,-0.0910804744837,-0.399102290387
"mouth+chin, nose+cheeks",,-0.213556641672,-0.349316796093,-0.0264776223459,0.117141843996,0.298755826391,-0.118850190276,-0.0560170616608,0.327239365538,-0.154426513415,-0.041884570566,0.160602219831,-0.20771682397
"nose+cheeks, eyes+eyebrows",,0.192373583128,0.182771867334,-0.0468280254975,-0.231910097641,-0.107649198581,0.137757467221,-0.0429663393471,-0.105649882167,0.16678139098,0.237541821366,0.0254990383532,0.108008884578
"mouth+chin, none",,-0.150647832438,-0.14265293689,0.0200215923133,0.133022993145,0.314331538963,-0.236794601888,-0.0657098873221,0.100724065352,-0.171582065011,-0.0822066511313,0.181983893087,0.053161916394
"nose+cheeks, mouth+chin",,0.0828556419889,-0.32866870988,0.156133865361,0.158283528232,0.0787732567123,-0.158461337015,0.191010990289,0.0985083922829,-0.219764645806,-0.0448493716896,0.0340873574528,0.353499956383
"eyes+eyebrows, mouth+chin",,0.191951836234,0.123564985184,-0.127245300629,-0.0378326767285,-0.378585156528,0.0667369177884,-0.0538588009951,-0.349534326054,0.33100092055,0.143072848114,-0.158826277295,0.0784330478424
"nose+cheeks, forehead",,-0.0359558732648,0.126382788918,0.202173814288,0.189949128234,0.294050208186,-0.0503826975221,-0.0575054632785,0.096838462203,-0.14573198938,0.149108337944,-0.0942111439532,0.0
"eyes+eyebrows, none",,0.130283300296,0.434270054179,0.182093743163,0.259188718218,-0.256202304822,0.34322723957,-0.0694555192303,-0.166124887331,-0.0471995621564,0.0107824496112,-0.268216713766,-0.132453235707
"eyes+eyebrows, forehead",,-0.156956985266,0.317817104979,-0.332844664083,-0.100461066324,0.266266950127,0.150362989136,-0.0478146092124,-0.0418080400876,-0.0758031246119,0.0130214662189,-0.117501940896,-0.174077655956
"mouth+chin, forehead",,0.162385862553,-0.158489617292,-0.129234286956,0.0442711808634,0.0153931088163,-0.278800319286,0.159821100495,0.0543449069981,-0.125829111419,-0.202845300704,-0.0654586879536,0.0969762275753
"forehead, eyes+eyebrows",,-0.212350743338,0.0556855412108,0.10675875879,0.0693303398427,0.120346123473,-0.278800319286,0.0799105502476,0.106101961282,0.115640519401,-0.272875225947,0.121566134771,0.0969762275753
"nose+cheeks, none",,-0.215735239589,-0.0328800751656,-0.194086861716,0.0156287257407,0.148032125354,0.0125956743805,0.517549169507,0.314104242787,-0.165065032472,-0.376176137321,-0.00448624495015,0.465242105199
"forehead, none",,0.162385862553,-0.308412228245,-0.0280944102079,0.269803611677,-0.0685693029088,-0.166280011054,-0.239731650743,0.131980488424,-0.259809096452,0.00724447502514,-0.0654586879536,0.0969762275753
Most common pattern,,,,,,,,,,,,,
Most common consistency,,-0.000739225669517,-0.0163082485579,0.283420698049,0.194057678693,0.0605649269767,0.183440615167,-0.0267980974998,-0.0603744005805,0.0245367503987,0.0416870299043,0.146405811836,-0.0841722395866
General consistency,,-0.0145996698013,-0.0517463001433,0.284460459266,0.154484547858,0.0634552704381,0.122528038795,0.0117695081796,0.00325749959316,0.0384117622961,0.0455092576854,0.177434737401,-0.15280160581
