,Participant,Stimulus,1st Region,2nd Region,3rd Region,length
0,201655115,birth_city_q11.avi,mouth+chin,"mouth+chin, eyes+eyebrows","3: mouth+chin, eyes+eyebrows, mouth+chin",3.0
1,201655115,birth_city_q21.avi,mouth+chin,"mouth+chin, eyes+eyebrows","3: mouth+chin, eyes+eyebrows, nose+cheeks",3.0
2,201655115,birth_city_q31.avi,mouth+chin,"mouth+chin, nose+cheeks","3: mouth+chin, nose+cheeks, eyes+eyebrows",3.0
3,201655115,books_q11.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","3: nose+cheeks, eyes+eyebrows, mouth+chin",3.0
4,201655115,books_q21.avi,mouth+chin,"mouth+chin, eyes+eyebrows","3: mouth+chin, eyes+eyebrows, nose+cheeks",3.0
5,201655115,books_q31.avi,mouth+chin,"mouth+chin, nose+cheeks","3: mouth+chin, nose+cheeks, eyes+eyebrows",3.0
6,201655115,cars_q11.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","2: nose+cheeks, eyes+eyebrows, none",2.0
7,201655115,cars_q21.avi,mouth+chin,"mouth+chin, nose+cheeks","3: mouth+chin, nose+cheeks, eyes+eyebrows",3.0
8,201655115,cars_q31.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","3: nose+cheeks, eyes+eyebrows, nose+cheeks",3.0
9,201655115,cleaning_q11.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","2: nose+cheeks, eyes+eyebrows, none",2.0
10,201655115,cleaning_q21.avi,eyes+eyebrows,"eyes+eyebrows, mouth+chin","2: eyes+eyebrows, mouth+chin, none",2.0
11,201655115,cleaning_q31.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","2: nose+cheeks, eyes+eyebrows, none",2.0
12,201655115,clothes_q11.avi,mouth+chin,"mouth+chin, eyes+eyebrows","3: mouth+chin, eyes+eyebrows, nose+cheeks",3.0
13,201655115,clothes_q21.avi,mouth+chin,"mouth+chin, nose+cheeks","3: mouth+chin, nose+cheeks, eyes+eyebrows",3.0
14,201655115,clothes_q3.avi,mouth+chin,"mouth+chin, forehead","3: mouth+chin, forehead, eyes+eyebrows",3.0
15,201655115,color_q11.avi,eyes+eyebrows,"eyes+eyebrows, nose+cheeks","3: eyes+eyebrows, nose+cheeks, eyes+eyebrows",3.0
16,201655115,color_q21.avi,eyes+eyebrows,"eyes+eyebrows, none","1: eyes+eyebrows, none, none",1.0
17,201655115,concerts_q11.avi,mouth+chin,"mouth+chin, eyes+eyebrows","2: mouth+chin, eyes+eyebrows, none",2.0
18,201655115,concerts_q21.avi,mouth+chin,"mouth+chin, eyes+eyebrows","3: mouth+chin, eyes+eyebrows, mouth+chin",3.0
19,201655115,concerts_q31.avi,mouth+chin,"mouth+chin, nose+cheeks","3: mouth+chin, nose+cheeks, eyes+eyebrows",3.0
20,201655115,date_birth_q11.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","2: nose+cheeks, eyes+eyebrows, none",2.0
21,201655115,date_birth_q21.avi,mouth+chin,"mouth+chin, eyes+eyebrows","2: mouth+chin, eyes+eyebrows, none",2.0
22,201655115,date_birth_q3.avi,mouth+chin,"mouth+chin, eyes+eyebrows","3: mouth+chin, eyes+eyebrows, mouth+chin",3.0
23,201655115,extrovertism_q11.avi,mouth+chin,"mouth+chin, nose+cheeks","3: mouth+chin, nose+cheeks, eyes+eyebrows",3.0
24,201655115,extrovertism_q21.avi,mouth+chin,"mouth+chin, eyes+eyebrows","2: mouth+chin, eyes+eyebrows, none",2.0
25,201655115,flight_q11.avi,mouth+chin,"mouth+chin, eyes+eyebrows","2: mouth+chin, eyes+eyebrows, none",2.0
26,201655115,flight_q21.avi,mouth+chin,"mouth+chin, eyes+eyebrows","3: mouth+chin, eyes+eyebrows, mouth+chin",3.0
27,201655115,food_q11.avi,mouth+chin,"mouth+chin, eyes+eyebrows","2: mouth+chin, eyes+eyebrows, none",2.0
28,201655115,food_q21.avi,mouth+chin,"mouth+chin, nose+cheeks","3: mouth+chin, nose+cheeks, mouth+chin",3.0
29,201655115,last_hour_q11.avi,eyes+eyebrows,"eyes+eyebrows, nose+cheeks","2: eyes+eyebrows, nose+cheeks, none",2.0
30,201655115,last_hour_q21.avi,mouth+chin,"mouth+chin, eyes+eyebrows","2: mouth+chin, eyes+eyebrows, none",2.0
31,201655115,movies_q11.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","3: nose+cheeks, eyes+eyebrows, mouth+chin",3.0
32,201655115,movies_q21.avi,nose+cheeks,"nose+cheeks, mouth+chin","3: nose+cheeks, mouth+chin, nose+cheeks",3.0
33,201655115,movies_q31.avi,nose+cheeks,"nose+cheeks, mouth+chin","3: nose+cheeks, mouth+chin, eyes+eyebrows",3.0
34,201655115,movies_q4.avi,mouth+chin,"mouth+chin, eyes+eyebrows","2: mouth+chin, eyes+eyebrows, none",2.0
35,201655115,music_q11.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","2: nose+cheeks, eyes+eyebrows, none",2.0
36,201655115,music_q21.avi,mouth+chin,"mouth+chin, nose+cheeks","3: mouth+chin, nose+cheeks, eyes+eyebrows",3.0
37,201655115,music_q31.avi,mouth+chin,"mouth+chin, nose+cheeks","3: mouth+chin, nose+cheeks, eyes+eyebrows",3.0
38,201655115,pets_q11.avi,mouth+chin,"mouth+chin, nose+cheeks","3: mouth+chin, nose+cheeks, eyes+eyebrows",3.0
39,201655115,pets_q21.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","2: nose+cheeks, eyes+eyebrows, none",2.0
40,201655115,smartphone_q1.avi,mouth+chin,"mouth+chin, eyes+eyebrows","3: mouth+chin, eyes+eyebrows, mouth+chin",3.0
41,201655115,smartphone_q2.avi,forehead,"forehead, nose+cheeks","3: forehead, nose+cheeks, mouth+chin",3.0
42,201655115,sports_q11.avi,mouth+chin,"mouth+chin, eyes+eyebrows","2: mouth+chin, eyes+eyebrows, none",2.0
43,201655115,sports_q21.avi,mouth+chin,"mouth+chin, eyes+eyebrows","3: mouth+chin, eyes+eyebrows, nose+cheeks",3.0
44,201655115,sports_q31.avi,mouth+chin,"mouth+chin, forehead","3: mouth+chin, forehead, eyes+eyebrows",3.0
45,201655115,theatre_q1.avi,mouth+chin,"mouth+chin, eyes+eyebrows","3: mouth+chin, eyes+eyebrows, nose+cheeks",3.0
46,201655115,theatre_q2.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","2: nose+cheeks, eyes+eyebrows, none",2.0
47,201655115,tv_q11.avi,eyes+eyebrows,"eyes+eyebrows, nose+cheeks","3: eyes+eyebrows, nose+cheeks, eyes+eyebrows",3.0
48,201655115,tv_q21.avi,mouth+chin,"mouth+chin, eyes+eyebrows","2: mouth+chin, eyes+eyebrows, none",2.0
49,201655115,university_q11.avi,mouth+chin,"mouth+chin, eyes+eyebrows","3: mouth+chin, eyes+eyebrows, forehead",3.0
50,201655115,university_q22.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","2: nose+cheeks, eyes+eyebrows, none",2.0
51,201655115,university_q31.avi,forehead,"forehead, eyes+eyebrows","3: forehead, eyes+eyebrows, mouth+chin",3.0
52,203525019,birth_city_q11.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","3: nose+cheeks, eyes+eyebrows, mouth+chin",3.0
53,203525019,birth_city_q21.avi,mouth+chin,"mouth+chin, eyes+eyebrows","3: mouth+chin, eyes+eyebrows, nose+cheeks",3.0
54,203525019,birth_city_q31.avi,mouth+chin,"mouth+chin, eyes+eyebrows","2: mouth+chin, eyes+eyebrows, none",2.0
55,203525019,books_q11.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","3: nose+cheeks, eyes+eyebrows, nose+cheeks",3.0
56,203525019,books_q21.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","2: nose+cheeks, eyes+eyebrows, none",2.0
57,203525019,books_q31.avi,mouth+chin,"mouth+chin, nose+cheeks","3: mouth+chin, nose+cheeks, eyes+eyebrows",3.0
