,Participant,eyes+eyebrows,forehead,mouth+chin,nose+cheeks,none,Most common pattern,Most common consistency,General consistency
0,201655115,5,2,32,13,0,mouth+chin,0.615384615385,13.0499042142
1,203525019,2,0,23,27,0,nose+cheeks,0.519230769231,13.4275835503
2,203669437,1,0,47,4,0,mouth+chin,0.903846153846,20.5255937795
3,203783675,5,0,16,31,0,nose+cheeks,0.596153846154,13.2400906341
4,204146120,1,0,34,17,0,mouth+chin,0.653846153846,15.0432709209
5,204150163,8,0,14,28,0,nose+cheeks,0.56,11.6619037897
6,204537237,0,0,37,15,0,mouth+chin,0.711538461538,16.2265215003
7,204572101,18,0,10,24,0,nose+cheeks,0.461538461538,10.7144761888
8,204617047,21,0,12,19,0,eyes+eyebrows,0.403846153846,10.0647901121
9,204629794,35,1,11,5,0,eyes+eyebrows,0.673076923077,14.4152696818
10,204792808,7,0,18,27,0,nose+cheeks,0.519230769231,11.8448300959
11,205414832,2,0,34,16,0,mouth+chin,0.653846153846,14.7918896697
12,205880982,2,0,33,17,0,mouth+chin,0.634615384615,14.5017240354
13,206193369,2,0,40,9,0,mouth+chin,0.78431372549,17.0645832062
14,301596185,21,0,5,26,0,nose+cheeks,0.5,12.259690045
15,30309488,0,0,23,28,0,nose+cheeks,0.549019607843,14.0783521763
16,304949118,5,0,9,38,0,nose+cheeks,0.730769230769,15.8839541676
17,305278335,19,0,15,18,0,eyes+eyebrows,0.365384615385,9.60728889958
18,305391427,27,1,2,22,0,eyes+eyebrows,0.519230769231,13.0115333455
19,305470940,19,0,16,16,0,eyes+eyebrows,0.372549019608,9.3914855055
20,308503671,1,0,30,18,1,mouth+chin,0.6,13.4721935853
21,311170625,1,0,40,11,0,mouth+chin,0.769230769231,17.1842951558
22,311356315,5,1,13,33,0,nose+cheeks,0.634615384615,13.6308473691
23,312420185,3,0,19,30,0,nose+cheeks,0.576923076923,13.5018517249
24,312769367,0,0,47,5,0,mouth+chin,0.903846153846,20.5742557581
25,314717430,2,1,26,23,0,mouth+chin,0.5,12.9344501236
26,315823492,9,0,15,28,0,nose+cheeks,0.538461538462,11.7175082675
27,326851821,14,0,10,28,0,nose+cheeks,0.538461538462,11.610340219
28,3705441,6,1,9,36,0,nose+cheeks,0.692307692308,14.7749788494
29,38208633,10,0,12,30,0,nose+cheeks,0.576923076923,12.2800651464
