,Participant,eyes+eyebrows,forehead,mouth+chin,nose+cheeks,none,Most common pattern,Most common consistency,General consistency
0,201655115,2,1,13,4,0,mouth+chin,0.65,5.24404424085
1,203525019,0,0,12,8,0,mouth+chin,0.6,5.65685424949
2,203669437,1,0,18,1,0,mouth+chin,0.9,7.84219357068
3,203783675,1,0,8,11,0,nose+cheeks,0.55,5.14781507049
4,204146120,1,0,13,6,0,mouth+chin,0.65,5.61248608016
5,204150163,4,0,6,9,0,nose+cheeks,0.473684210526,3.89871773792
6,204537237,0,0,17,3,0,mouth+chin,0.85,7.38241153012
7,204572101,8,0,5,7,0,eyes+eyebrows,0.4,3.80788655293
8,204617047,10,0,5,5,0,eyes+eyebrows,0.5,4.18330013267
9,204629794,13,1,5,1,0,eyes+eyebrows,0.65,5.38516480713
10,204792808,1,0,8,11,0,nose+cheeks,0.55,5.14781507049
11,205414832,0,0,15,5,0,mouth+chin,0.75,6.5192024052
12,205880982,0,0,12,8,0,mouth+chin,0.6,5.65685424949
13,206193369,2,0,13,4,0,mouth+chin,0.684210526316,5.40370243444
14,301596185,9,0,2,9,0,eyes+eyebrows,0.45,4.63680924775
15,30309488,0,0,8,12,0,nose+cheeks,0.6,5.65685424949
16,304949118,2,0,6,12,0,nose+cheeks,0.6,5.09901951359
17,305278335,5,0,7,8,0,nose+cheeks,0.4,3.80788655293
18,305391427,7,0,1,12,0,nose+cheeks,0.6,5.33853912602
19,305470940,6,0,7,6,0,mouth+chin,0.368421052632,3.49284983931
20,308503671,0,0,11,6,1,mouth+chin,0.611111111111,4.82700735446
21,311170625,0,0,14,6,0,mouth+chin,0.7,6.16441400297
22,311356315,1,1,7,11,0,nose+cheeks,0.55,4.79583152331
23,312420185,0,0,6,14,0,nose+cheeks,0.7,6.16441400297
24,312769367,0,0,16,4,0,mouth+chin,0.8,6.92820323028
25,314717430,0,0,9,11,0,nose+cheeks,0.55,5.52268050859
26,315823492,3,0,8,9,0,nose+cheeks,0.45,4.30116263352
27,326851821,7,0,4,9,0,nose+cheeks,0.45,4.06201920232
28,3705441,3,1,4,12,0,nose+cheeks,0.6,4.74341649025
29,38208633,6,0,6,8,0,nose+cheeks,0.4,3.74165738677
