,Participant,"eyes+eyebrows, nose+cheeks","mouth+chin, eyes+eyebrows","mouth+chin, nose+cheeks","nose+cheeks, eyes+eyebrows","mouth+chin, none","nose+cheeks, mouth+chin","eyes+eyebrows, mouth+chin","nose+cheeks, forehead","eyes+eyebrows, none","eyes+eyebrows, forehead","mouth+chin, forehead","forehead, eyes+eyebrows","nose+cheeks, none","forehead, none",Most common pattern,Most common consistency,General consistency
0,201655115,3,9,2,6,0,0,0,0,0,0,0,0,0,0,"mouth+chin, eyes+eyebrows",0.45,2.79324145075
1,203525019,0,5,1,14,0,0,0,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.7,3.85734635198
2,203669437,0,1,11,0,5,3,0,0,0,0,0,0,0,0,"mouth+chin, nose+cheeks",0.55,3.1308461799
3,203783675,1,3,2,13,0,0,1,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.65,3.45775128603
4,204146120,0,2,12,4,0,2,0,0,0,0,0,0,0,0,"mouth+chin, nose+cheeks",0.6,3.27494652251
5,204150163,2,3,0,12,0,1,1,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.631578947368,3.20113304117
6,204537237,0,0,9,0,4,6,0,1,0,0,0,0,0,0,"mouth+chin, nose+cheeks",0.45,2.8477868793
7,204572101,1,1,1,12,0,0,0,0,5,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.6,3.32159103939
8,204617047,2,4,1,8,0,0,5,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.4,2.50274574492
9,204629794,0,3,0,3,0,0,0,0,14,0,0,0,0,0,"eyes+eyebrows, none",0.7,3.77673619197
10,204792808,2,3,1,11,0,0,1,0,2,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.55,2.92770021885
11,205414832,1,8,4,7,0,0,0,0,0,0,0,0,0,0,"mouth+chin, eyes+eyebrows",0.4,2.79324145075
12,205880982,1,6,6,4,0,3,0,0,0,0,0,0,0,0,"mouth+chin, eyes+eyebrows",0.3,2.31098665956
13,206193369,0,9,8,0,1,1,0,1,0,0,0,0,0,0,"mouth+chin, eyes+eyebrows",0.45,3.03097561633
14,301596185,3,0,1,10,0,1,0,0,4,1,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.5,2.76556533974
15,30309488,0,3,8,8,0,0,0,0,0,0,0,0,0,0,"mouth+chin, nose+cheeks",0.421052631579,2.92488376777
16,304949118,0,0,1,10,0,8,0,0,0,0,1,0,0,0,"nose+cheeks, eyes+eyebrows",0.5,3.25137333621
17,305278335,6,4,1,4,0,0,5,0,0,0,0,0,0,0,"eyes+eyebrows, nose+cheeks",0.3,2.24342751899
18,305391427,12,0,0,3,0,1,3,0,0,0,0,1,0,0,"eyes+eyebrows, nose+cheeks",0.6,3.22762798624
19,305470940,3,4,0,5,0,0,0,0,6,1,0,0,1,0,"eyes+eyebrows, none",0.3,2.1380899353
20,308503671,0,0,10,3,0,7,0,0,0,0,0,0,0,0,"mouth+chin, nose+cheeks",0.5,3.15531994512
21,311170625,0,1,12,2,4,1,0,0,0,0,0,0,0,0,"mouth+chin, nose+cheeks",0.6,3.25137333621
22,311356315,2,0,2,3,0,12,1,0,0,0,0,0,0,0,"nose+cheeks, mouth+chin",0.6,3.20370664446
23,312420185,3,1,7,8,0,0,0,0,0,0,0,0,1,0,"nose+cheeks, eyes+eyebrows",0.4,2.70936511764
24,312769367,0,2,18,0,0,0,0,0,0,0,0,0,0,0,"mouth+chin, nose+cheeks",0.9,4.79926734335
25,314717430,1,2,8,4,0,3,1,0,0,0,0,0,0,1,"mouth+chin, nose+cheeks",0.4,2.27745761471
26,315823492,1,0,2,12,0,0,0,0,4,1,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.6,3.25137333621
27,326851821,1,1,2,15,0,0,0,0,1,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.75,3.95579974826
28,3705441,2,0,5,2,0,7,0,0,0,0,0,0,4,0,"nose+cheeks, mouth+chin",0.35,2.31098665956
29,38208633,2,1,2,14,0,1,0,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.7,3.69436755729
