,Participant,"eyes+eyebrows, none","eyes+eyebrows, nose+cheeks","mouth+chin, eyes+eyebrows","mouth+chin, nose+cheeks","nose+cheeks, eyes+eyebrows","nose+cheeks, none","eyes+eyebrows, mouth+chin","nose+cheeks, mouth+chin","forehead, nose+cheeks","eyes+eyebrows, forehead","mouth+chin, none","none, none","forehead, eyes+eyebrows","mouth+chin, forehead","nose+cheeks, forehead",Most common pattern,Most common consistency,General consistency
0,1,1,5,1,5,7,1,0,0,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.35,2.31968799216
1,2,6,0,7,0,6,0,0,0,0,0,0,0,0,0,0,"mouth+chin, eyes+eyebrows",0.368421052632,2.6313132698
2,4,0,6,0,1,9,0,1,3,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.45,2.69037083654
3,6,1,0,9,4,3,0,1,1,1,0,0,0,0,0,0,"mouth+chin, eyes+eyebrows",0.45,2.43975018237
4,8,5,1,2,0,6,1,3,2,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.3,1.9518001459
5,10,0,0,7,5,8,0,0,0,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.4,2.81999662276
6,13,0,2,2,6,8,0,1,1,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.4,2.43975018237
7,15,6,1,4,0,7,1,0,0,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.368421052632,2.37446735882
8,16,2,6,1,2,3,1,2,1,0,1,0,0,0,0,0,"eyes+eyebrows, nose+cheeks",0.315789473684,1.62422142521
9,18,0,2,0,6,5,0,0,7,0,0,0,0,0,0,0,"nose+cheeks, mouth+chin",0.35,2.49761791275
10,19,3,4,3,1,9,0,0,0,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.45,2.52605470664
11,20,0,0,2,6,10,2,0,0,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.5,2.89498745782
12,23,1,0,3,5,11,0,0,0,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.55,3.03942350423
13,24,0,0,0,8,0,1,0,5,0,0,6,0,0,0,0,"mouth+chin, nose+cheeks",0.4,2.66368881351
14,25,0,0,6,3,11,0,0,0,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.55,3.15473944287
15,26,0,0,10,5,4,0,0,1,0,0,0,0,0,0,0,"mouth+chin, eyes+eyebrows",0.5,2.87020822208
16,27,0,0,1,9,1,0,0,5,0,0,1,1,0,0,0,"mouth+chin, nose+cheeks",0.5,2.51282425058
17,28,2,4,4,1,7,0,2,0,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.35,2.12692489849
18,29,1,0,0,13,3,2,0,1,0,0,0,0,0,0,0,"mouth+chin, nose+cheeks",0.65,3.35232683939
19,30,0,0,2,10,6,0,0,2,0,0,0,0,0,0,0,"mouth+chin, nose+cheeks",0.5,2.89498745782
20,31,0,2,0,3,0,2,1,10,1,0,1,0,0,0,0,"nose+cheeks, mouth+chin",0.5,2.58198889747
21,32,0,0,0,5,0,0,1,1,0,0,13,0,0,0,0,"mouth+chin, none",0.65,3.47782088314
22,33,0,0,3,9,3,0,0,1,0,0,4,0,0,0,0,"mouth+chin, nose+cheeks",0.45,2.52605470664
23,34,0,3,3,3,8,0,1,1,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.421052631579,2.2189658681
24,36,0,0,0,6,0,1,0,2,0,0,11,0,0,0,0,"mouth+chin, none",0.55,3.10912635103
25,37,0,1,4,1,5,0,8,0,0,1,0,0,0,0,0,"eyes+eyebrows, mouth+chin",0.4,2.41029537807
26,38,13,0,5,0,1,0,0,0,0,0,0,0,1,0,0,"eyes+eyebrows, none",0.65,3.47782088314
27,39,1,0,4,4,9,1,0,1,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.45,2.52605470664
28,40,0,0,5,2,2,0,0,1,0,2,5,0,0,1,1,"mouth+chin, eyes+eyebrows",0.263157894737,1.70991506333
29,42,0,3,5,2,7,0,2,1,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.35,2.16024689947
30,44,0,1,0,7,1,0,0,10,0,0,0,0,1,0,0,"nose+cheeks, mouth+chin",0.5,2.99205296617
31,45,0,0,0,6,11,0,0,3,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.55,3.15473944287
