,Participant,Stimulus,1st Region,2nd Region,3rd Region,length
0,1,birth_city_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
1,1,birth_city_q21.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
2,1,birth_city_q31.avi,nose+cheeks,eyes+eyebrows,mouth+chin,3.0
3,1,books_q11.avi,mouth+chin,eyes+eyebrows,nose+cheeks,3.0
4,1,books_q21.avi,eyes+eyebrows,nose+cheeks,none,2.0
5,1,books_q31.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
6,1,cars_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
7,1,cars_q21.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
8,1,cars_q31.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
9,1,cleaning_q11.avi,nose+cheeks,mouth+chin,nose+cheeks,3.0
10,1,cleaning_q21.avi,eyes+eyebrows,nose+cheeks,none,2.0
11,1,cleaning_q31.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
12,1,clothes_q11.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
13,1,clothes_q21.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
14,1,clothes_q3.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
15,1,color_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
16,1,color_q21.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
17,1,concerts_q11.avi,nose+cheeks,eyes+eyebrows,none,2.0
18,1,concerts_q21.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
19,1,concerts_q31.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
20,1,date_birth_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
21,1,date_birth_q21.avi,nose+cheeks,none,none,1.0
22,1,date_birth_q3.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
23,1,extrovertism_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
24,1,extrovertism_q21.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
25,1,flight_q11.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
26,1,flight_q21.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
27,1,food_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
28,1,food_q21.avi,eyes+eyebrows,nose+cheeks,none,2.0
29,1,last_hour_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
30,1,last_hour_q21.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
31,1,movies_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
32,1,movies_q21.avi,eyes+eyebrows,none,none,1.0
33,1,movies_q31.avi,eyes+eyebrows,nose+cheeks,none,2.0
34,1,movies_q4.avi,eyes+eyebrows,nose+cheeks,none,2.0
35,1,music_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
36,1,music_q21.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
37,1,music_q31.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
38,1,pets_q11.avi,nose+cheeks,eyes+eyebrows,mouth+chin,3.0
39,1,pets_q21.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
40,1,smartphone_q1.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
41,1,smartphone_q2.avi,mouth+chin,eyes+eyebrows,nose+cheeks,3.0
42,1,sports_q11.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
43,1,sports_q21.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
44,1,sports_q31.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
45,1,theatre_q1.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
46,1,theatre_q2.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
47,1,tv_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
48,1,tv_q21.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
49,1,university_q11.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
50,1,university_q22.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
51,1,university_q31.avi,mouth+chin,eyes+eyebrows,nose+cheeks,3.0
52,2,birth_city_q11.avi,eyes+eyebrows,none,none,1.0
53,2,birth_city_q21.avi,nose+cheeks,eyes+eyebrows,none,2.0
