,id,gender,E,A,C,N,I,age,height,FB friends,whatsapp private week,self statement ,friend statement
Participant,,,,,,,,,,,,,
Export Start Trial Time [ms],,,,,,,,,,,,,
Export End Trial Time [ms],,-0.102108164254,-0.0927056408276,0.106557094748,-0.103504498612,0.031006956286,-0.157654604215,0.0292842269414,0.284854614543,-0.0296497942679,-0.117105050792,0.0576010274932,0.202742994049
AOI Group,,,,,,,,,,,,,
AOI Order,,9.95755765245e-18,2.91384045475e-16,-4.30000651274e-16,-1.27848144901e-16,1.07090970105e-16,6.69739081435e-16,0.0,-7.92170644816e-16,0.0,1.21058035194e-16,3.77693538164e-16,0.0
AOI Size [px],,2.98726729573e-16,1.03805566201e-16,-4.30000651274e-16,-1.53417773881e-16,1.07090970105e-16,6.50603679108e-16,0.0,-7.92170644816e-16,0.0,1.9974575807e-16,3.33960602166e-16,0.0
AOI Coverage [%],,7.46816823934e-17,1.6390352558e-16,-4.30000651274e-16,-1.27848144901e-16,1.07090970105e-16,6.69739081435e-16,0.0,-7.92170644816e-16,0.0,1.58888671192e-16,3.57814930892e-16,0.0
Time to First Appearance [ms],,,,,,,,,,,,,
Appearance Count,,,,,,,,,,,,,
Visible Time [ms],,-0.102108164254,-0.0927056408276,0.106557094748,-0.103504498612,0.031006956286,-0.157654604215,0.0292842269414,0.284854614543,-0.0296497942679,-0.117105050792,0.0576010274932,0.202742994049
Visible Time [%],,,,,,,,,,,,,
Net Dwell Time [ms],,-0.0995083315069,-0.0980491238825,-0.176572901665,-0.261612519721,-0.0598872654012,0.131842097317,0.0325779953604,0.173690672099,-0.173202089105,-0.154828620226,-0.207316127984,0.0704696055079
Dwell Time [ms],,-0.0782809761481,0.0209890126472,-0.126089289195,-0.213321910411,-0.0892021436578,0.278549731391,0.0672361619421,0.050933195361,-0.093595452171,-0.123353613959,-0.26208853528,0.0500175647422
Glance Duration [ms],,-0.0823442530646,-0.0249137565644,-0.164045663215,-0.283134712487,-0.0968739133689,0.18401265647,0.0196765056557,0.0655402858428,-0.12673603383,-0.144027175882,-0.275916002079,0.0213344688727
Diversion Duration [ms],,-0.083624357664,-0.0822837541379,-0.212108763165,-0.337775490284,-0.107686480626,0.0554107197819,-0.041800882461,0.0750952633367,-0.164473658464,-0.16874482416,-0.270275179319,-0.0136074215442
First Fixation Duration [ms],,-0.101727295678,-0.328651014397,-0.191888622477,-0.109944619497,0.0733152731421,-0.0565781450096,0.284759962644,0.263204511923,-0.0831638507087,-0.28415749896,-0.062045666107,0.0510830167246
Glances Count,,0.132274586695,-0.223981848087,0.051452468265,-0.265301379268,-0.152836997578,-0.299843274089,-0.18068693798,-0.171556537993,0.0982144887979,0.0115068039775,0.048269499267,-0.0843027059254
Fixation Count,,0.219304929305,0.24599230389,0.0862882722867,-0.112122664128,-0.20876102616,0.0414397601962,-0.227738567494,-0.325010233983,0.183183220322,0.177475339114,0.0446538974532,-0.0230902207139
Net Dwell Time [%],,-0.114490178225,-0.058261101006,-0.222977897257,-0.237976745251,-0.0800358636371,0.211128960903,0.0275457806632,0.0838933339499,-0.186075999425,-0.150269550452,-0.273386121235,-0.0199893773468
Dwell Time [%],,-0.0730113416818,0.0753940970917,-0.136703104768,-0.187220500463,-0.105062771708,0.346358335503,0.0593189828084,-0.032468529314,-0.0684811430297,-0.0982500890714,-0.33093378932,-0.00654501551374
Fixation Time [ms],,-0.101991638899,0.00707424484564,-0.120259447437,-0.2334201237,-0.10501671569,0.288591080147,0.0983472911346,0.041525747206,-0.0994053673081,-0.166435420577,-0.298063535918,0.027791951078
Fixation Time [%],,-0.0956137570033,0.0593668461273,-0.124365245887,-0.206789898219,-0.117574715069,0.34964635812,0.0915405293083,-0.0366910007085,-0.0721090509641,-0.139336461443,-0.356903336646,-0.027121889294
Average Fixation Duration [ms],,-0.199146355015,-0.40556262857,-0.187146559859,-0.0753167990985,0.160967942351,-0.131540483704,0.245919812754,0.277898479724,-0.178214269623,-0.359970349178,0.0178742850851,0.0235950763752
