Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Fixation Count	Fixation Frequency [count/s]	Fixation Duration Total [ms]	Fixation Duration Average [ms]	Fixation Duration Maximum [ms]	Fixation Duration Minimum [ms]	Fixation Dispersion Total [px]	Fixation Dispersion Average [px]	Fixation Dispersion Maximum [px]	Fixation Dispersion Minimum [px]	Saccade Count	Saccade Frequency [count/s]	Saccade Duration Total [ms]	Saccade Duration Average [ms]	Saccade Duration Maximum [ms]	Saccade Duration Minimum [ms]	Saccade Amplitude Total []	Saccade Amplitude Average []	Saccade Amplitude Maximum []	Saccade Amplitude Minimum []	Saccade Velocity Total [/s]	Saccade Velocity Average [/s]	Saccade Velocity Maximum [/s]	Saccade Velocity Minimum [/s]	Saccade Latency Average [ms]	Blink Count	Blink Frequency [count/s]	Blink Duration Total [ms]	Blink Duration Average [ms]	Blink Duration Maximum [ms]	Blink Duration Minimum [ms]	Left Mouse Click Count	Left Mouse Click Frequency [count/s]	Right Mouse Click Count	Right Mouse Click Frequency [count/s]	Scanpath Length [px]
Trial001	Validation.jpg	0	12132.1	1	DarkBlue	46	1.9	23594.5	512.9	2003.6	80.2	4263.2	92.7	100	50.9	44	1.8	660	15	96.1	4	82.7	1.9	8.7	0	3868.3	87.9	248.8	2.5	490.5	0	0	0	-	-	-	0	0	0	0	9009
Trial001	Validation.jpg	0	9029.6	2	DarkCyan	46	2.5	16019	348.2	1359.7	83.9	4111.8	89.4	99.9	22.5	43	2.4	1551.3	36.1	188	4	178.9	4.2	31	0	4070.4	94.7	613.4	2.6	373.4	2	0.1	376	188	212	164	0	0	0	0	8852
Trial002	Validation.jpg	0	9420	2	DarkCyan	39	2.1	17054.7	437.3	1375.8	95.8	3686.5	94.5	100	60.4	36	1.9	1239.8	34.4	191.8	4	114.2	3.2	13.8	0	1915.8	53.2	193.3	2.8	412.4	2	0.1	376.2	188.1	208.1	168.1	0	0	0	0	8357
Trial001	Validation.jpg	0	8472	3	DarkGoldenrod	60	3.5	13614.8	226.9	1463.8	80	5565	92.8	99.8	17.5	59	3.5	2991.9	50.7	287.9	4	209	3.5	21.5	0	3252.6	55.1	272.1	2.6	235.3	2	0.1	183.8	91.9	99.9	83.9	1	0.1	0	0	12461
Trial002	Validation.jpg	0	18245.3	3	DarkGoldenrod	117	3.2	21482.3	183.6	1859.7	80	10526.9	90	100	36.4	114	3.1	7459.6	65.4	583.7	4	596.2	5.2	41.2	0	7949.5	69.7	684.2	2.8	255.9	5	0.1	1195.7	239.1	464	71.9	0	0	0	0	11786
Trial003	Validation.jpg	0	10554.7	3	DarkGoldenrod	79	3.7	14755	186.8	812	80.2	6652.6	84.2	99.8	16.9	73	3.5	3635.8	49.8	384	4	407.8	5.6	40.4	0	7294.8	99.9	631.1	2.8	243.1	7	0.3	1183.8	169.1	579.9	80.1	0	0	0	0	11680
Trial004	Validation.jpg	0	14342	3	DarkGoldenrod	102	3.6	17511.9	171.7	676.1	80	8783.9	86.1	100	30	98	3.4	8081.7	82.5	1267.7	4	597.8	6.1	82.6	0	7906.4	80.7	746.6	2.4	204.4	7	0.2	971.9	138.8	383.9	72	0	0	0	0	13047
Trial001	Validation.jpg	0	8028.7	4	DarkGray	38	2.4	14619	384.7	1483.8	84	3635.4	95.7	99.9	61.6	37	2.3	1419.5	38.4	231.9	4	89.6	2.4	13.7	0	1808.6	48.9	222.5	4.5	371.8	0	0	0	-	-	-	0	0	0	0	8091
Trial002	Validation.jpg	0	9254.5	4	DarkGray	48	2.6	17278.2	360	1803.9	80	4457.7	92.9	99.9	41	46	2.5	1208.1	26.3	272.2	4	86.2	1.9	15.7	0	1981.7	43.1	207	2.7	352.8	0	0	0	-	-	-	0	0	0	0	8041
Trial001	Validation.jpg	0	8176	5	DarkGreen	31	1.9	15476	499.2	2003.6	80.1	2796.5	90.2	99.8	59.1	29	1.8	859.2	29.6	131.6	4	79.4	2.7	8.4	0	2244.6	77.4	194.6	4.5	480.7	0	0	0	-	-	-	0	0	0	0	8098
Trial002	Validation.jpg	0	7728.3	5	DarkGreen	31	2	14458.5	466.4	1647.8	80	2790.5	90	99.9	49	29	1.9	971.9	33.5	140	4	85.8	3	10.6	0	1871.7	64.5	178.1	1.2	425.2	0	0	0	-	-	-	0	0	0	0	7940
Trial001	Validation.jpg	0	7920.2	6	DarkKhaki	33	2.1	13214.9	400.5	1328.1	80	2979.9	90.3	100	44.1	32	2	1584	49.5	172	4	131.5	4.1	12.5	0	4197.2	131.2	1199.9	1.9	418.1	6	0.4	823.2	137.2	179.9	91.9	0	0	0	0	7705
Trial001	Validation.jpg	0	7779.8	7	DarkMagenta	35	2.2	13902.8	397.2	1520	83.9	3181.4	90.9	100	30	30	1.9	1119.6	37.3	115.8	4	97.3	3.2	11.2	0	1920	64	212	5.3	451	4	0.3	496.2	124	140.2	112.1	0	0	0	0	8151
Trial001	Validation.jpg	0	8605.2	8	DarkOliveGreen	36	2.1	16386.7	455.2	2155.8	80.1	3355.6	93.2	100	54.6	34	2	804.2	23.7	152.2	4	77.5	2.3	11.3	0	2340.9	68.8	168.4	3.4	447.8	0	0	0	-	-	-	0	0	0	0	8061
Trial001	Validation.jpg	0	7679.9	9	DarkOrange	41	2.7	13134.9	320.4	1287.9	80	3677.5	89.7	99.9	23.2	39	2.5	1156.1	29.6	152.1	4	145.6	3.7	18.5	0	3319.7	85.1	420.6	3.6	359.9	6	0.4	1004.2	167.4	220	84.1	0	0	0	0	8986
Trial001	Validation.jpg	0	14579	10	DarkOrchid	37	1.3	27157	734	6059.5	84.1	3225.2	87.2	100	33.5	35	1.2	1283.9	36.7	168	4	170.5	4.9	32	0	3547.1	101.3	360.1	2.7	763.3	2	0.1	628.6	314.3	320.3	308.3	1	0.1	0	0	8345
Trial001	Validation.jpg	0	10688.5	11	DarkRed	46	2.2	19050	414.1	1411.6	80.1	4227.4	91.9	99.9	43.1	44	2.1	576.1	13.1	60	4	131.6	3	18.8	0	5724.6	130.1	951.9	2.3	445.1	8	0.4	1060.2	132.5	155.9	108	0	0	0	0	8687
Trial001	Validation.jpg	0	9016.8	12	DarkSalmon	48	2.7	14514.6	302.4	1144.1	92.1	4186.6	87.2	100	33.3	53	2.9	1179.9	22.3	91.8	4	195.8	3.7	18.8	0	8991	169.6	829	1.6	304.7	10	0.6	2236.1	223.6	527.9	120	0	0	0	0	8400
Trial001	Validation.jpg	0	10793.9	13	DarkSeaGreen	56	2.6	18570.8	331.6	1471.8	80	5143.9	91.9	100	46.7	55	2.5	1716.2	31.2	124.1	4	220.4	4	17.5	0	5394.1	98.1	479.3	2.5	317	5	0.2	915.2	183	303.7	91.9	0	0	0	0	12601
Trial002	Validation.jpg	0	11128.6	13	DarkSeaGreen	42	1.9	19275.9	459	1459.7	80	3857.7	91.9	99.9	56	38	1.7	1254.5	33	173.1	4	114.1	3	14.6	0	2767.3	72.8	804.7	2.1	501.4	3	0.1	1574.8	524.9	743.5	87.9	0	0	0	0	8381
Trial001	Validation.jpg	0	9830.1	14	DarkSlateBlue	46	2.3	16769.2	364.5	1591.7	80	4146.3	90.1	100	37.5	42	2.1	1404.3	33.4	216.1	4	151.3	3.6	18.2	0	3750.5	89.3	757.5	2.3	424.5	4	0.2	644.2	161.1	180.1	136	0	0	0	0	10155
