Participant	Color	Right Eye Deviation X [?]	Right Eye Deviation Y [?]	Left Eye Deviation X [?]	Left Eye Deviation Y [?]	Tracking Ratio [%]
7	DarkMagenta	0.4	0.3	0.3	0.1	79.4
41	LightSeaGreen	0.1	0.2	0.1	0.2	79.5
35	LightBlue	0.2	0.2	0.2	0.1	79.7
43	LightSlateGray	0.4	0.5	0.1	0.3	80.7
14	DarkSlateBlue	0.2	0.2	0.2	0.1	82
9	DarkOrange	0.3	0.4	0.3	0.3	82.5
22	Firebrick	0.2	0.5	0.4	0.5	83.3
12	DarkSalmon	0.2	0.2	0.1	0.1	83.7
17	DarkViolet	0.3	0.2	0.4	0.2	83.9
44	LightSteelBlue	0.2	0.2	0.3	0.2	84.9
20	DimGray	0.2	0.2	0.2	0.2	85.1
42	LightSkyBlue	0.3	0.2	0.3	0.2	85.7
19	DeepSkyBlue	0.3	0.3	0.2	0.2	86
30	HotPink	0.3	0.5	0.2	0.3	86.3
13	DarkSeaGreen	0.2	0.3	0.4	0.3	87.6
40	LightSalmon	0.2	0.3	0.2	0.1	87.7
18	DeepPink	0.3	0.4	0.2	0.5	87.8
5	DarkGreen	0.3	0.7	0.3	0.5	88
2	DarkCyan	0.4	0.2	0.2	0.3	88.2
11	DarkRed	0.3	0.2	0.3	0.5	88.3
6	DarkKhaki	0.3	0.2	0.2	0.3	88.4
36	LightCoral	0.1	0.3	0.2	0.4	88.5
33	Khaki	0.3	0.3	0.4	0.2	88.7
16	DarkTurquoise	0.2	0.3	0.1	0.2	89.1
4	DarkGray	0.5	0.3	0.4	0.5	90.1
10	DarkOrchid	0.3	0.2	0.2	0.4	91.4
34	LawnGreen	0.2	0.3	0.2	0.6	91.7
3	DarkGoldenrod	0.6	0.8	0.8	0.6	91.9
26	Goldenrod	0.2	0.2	0.2	0.3	92.7
15	DarkSlateGray	0.3	0.3	0.5	0.3	92.8
31	IndianRed	0.4	0.4	0.4	0.6	92.9
38	LightGreen	0.4	0.1	0.2	0.2	93.2
24	Gainsboro	0.2	0.2	0.2	0.3	93.6
25	Gold	0.4	0.2	0.3	0.2	93.7
37	LightGray	0.3	0.3	0.2	0.3	94
23	ForestGreen	0.2	0.3	0.3	0.4	94.2
45	Lime	0.3	0.2	0.2	0.4	94.3
1	DarkBlue	0.1	0.3	0.2	0.3	94.5
27	Gray	0.2	0.3	0.2	0.2	95.5
39	LightPink	0.2	0.4	0.1	0.3	95.7
29	GreenYellow	0.1	0.4	0.5	0.3	95.8
28	Green	0.2	0.1	0.2	0.1	96.3
32	Indigo	0.2	0.2	0.2	0.2	97.3
8	DarkOliveGreen	0.2	0.2	0.4	0.2	97.8
21	DodgerBlue	0.1	0.2	0.1	0.6	99.8
