id	gender	E	A	C	N	I	Culture	age	height	FB friends	whatsapp private week	self statement 	friend statement
1	1	28	38	26	39	39	1	30	175	370		4	4
2	1	42	22	43	35	39	1	25	163	229	20	5	3
3	2	25	31	27	27	29	2	26	163	38	1		
4	1	34	41	38	39	30	1	25	172	887	8	5	5
5	2	31	35	36	42	36	2	20	170	699	15	3	6
6	1	23	35	26	41	36	1	26	172		12	6	5
7	2	35	40	35	38	36	2	21	164	256	13	3	3
8	1	46	34	15	47	48	1	25	174	1004	27	2	4
9	2	17	33	20	21	26	2	22	170	88	3	7	6
10	2	42	42	32	24	43	1	23	163	1109	36	5	4
11	2	32	40	32	41	31	2	20	160		5	5	4
12	2	36	32	32	34	37	2	20	165	448	3	4	2
13	2	31	41	41	39	32	1	21	164	499	25	5	5
14	2	46	44	46	37	43	1	24	165	1116	12	2	3
15	1	39	29	20	20	44	1	23	183	686	22	6	6
16	1	34	39	42	37	33	1	25	180	520	28	3	3
17	2	33	40	34	30	30	1	24	168	1133	25	4	5
18	2	24	34	37	34	30	1	26	170	413	12	4	5
19	2	34	44	44	48	38	1	23	164	1335	47	5.5	6
20	1	33	38	30	36	35	1	27	177	1321	38	4	3
22	2	34	32	38	37	39	1	23		37	23	4	3
23	1	22	29	29	28	33	1	24	177	154	14	6	5
24	2	27	37	40	38	34	1	22	165	390	20	5	4
25	2	17	37	46	30	33	1	21	173	150	24	4	5
26	1	27	36	30	29	28	1	22	173	413	15	3	3
27	2	20	32	34	30	39	1	23	173	200	28	6	5
28	2	41	41	41	15	43	1	23	163	338	18	4	5
29	1	46	39	42	43	44	1	24	168	959	37	3	3
30	2	35	47	33	22	35	1	22	163	1251	32	5	4
31	1	30	36	37	38	38	1	31	180	500	4	4	7
32	1	22	34	30	41	31	1	24	167		11	5	5
33	1	21	36	39	32	41	1	25	172	581	12	5	3
34	2	37	36	43	29	41	1	23	154	789	27	4	4
35	2	20	36	35	28	34	1	24	170	170	2	5	4
36	1	34	44	47	44	38	1	25	181	525	34	5	5
37	2	47	31	34	26	36	1	23	162	1495	45	3	5
38	2	43	49	46	20	43	1	24	165	766	26	3	4
39	2	28	41	30	22	43	1	21	161	570	15	4	5
40	2	37	40	34	42	35	1	22	160	398	25	3	4
41	2	27	39	38	33	37	1	30	145	247	7	5	5
42	2	29	37	31	16	46	1	25	155	855	25	4	4
43	2	24	45	40	21	30	1	23	163	579		4	5
44	2	22	47	36	29	37	1	23	156	597	31	4	5
45	2	20	37	23	42	35	1	22	175	382	16	5	6
